[2013-11-24 22:00:57] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2013-11-24 22:03:19] PavanGupta01, joining. (#selenium)
[2013-11-24 22:05:10] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 22:05:55] PavanGupta01, joining. (#selenium)
[2013-11-24 22:14:10] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 22:14:31] PavanGupta01, joining. (#selenium)
[2013-11-24 22:15:23] manoj9788, joining. (#selenium)
[2013-11-24 22:17:05] manoj9788: Hi.. a quick Question .. Can we use Selenium against xHTML pages ?
[2013-11-24 22:18:34] manoj9788: am following up this thread now....https://groups.google.com/forum/#!msg/selenium-developers/U6A5FktzLMQ/UsISs56qqSYJ
[2013-11-24 22:20:40] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 22:20:53] plightbo_work, quitting. (Remote host closed the connection)
[2013-11-24 22:21:04] PavanGupta01, joining. (#selenium)
[2013-11-24 22:21:27] plightbo_work, joining. (#selenium)
[2013-11-24 22:26:05] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-11-24 22:26:34] noahsussman, joining. (#selenium)
[2013-11-24 22:27:50] jimpurbrick, joining. (#selenium)
[2013-11-24 22:32:00] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 22:32:21] PavanGupta01, joining. (#selenium)
[2013-11-24 22:35:16] noahsussman, quitting. (Ping timeout: 264 seconds)
[2013-11-24 22:35:33] jimpurbrick, quitting. (Ping timeout: 265 seconds)
[2013-11-24 22:36:32] stephend, quitting. (Quit: Leaving...)
[2013-11-24 22:49:30] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 22:49:50] PavanGupta01, joining. (#selenium)
[2013-11-24 22:54:00] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 22:54:47] PavanGupta01, joining. (#selenium)
[2013-11-24 22:59:20] PavanGupta01, quitting. (Read error: Connection reset by peer)
[2013-11-24 23:00:07] PavanGupta01, joining. (#selenium)
[2013-11-24 23:02:01] markboxall, joining. (#selenium)
[2013-11-24 23:03:00] jimpurbrick, joining. (#selenium)
[2013-11-24 23:06:45] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 23:07:57] ddary, joining. (#selenium)
[2013-11-24 23:08:25] ddary, quitting. (Client Quit)
[2013-11-24 23:12:05] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-11-24 23:15:08] PavanGupta01, quitting. (Quit: PavanGupta01)
[2013-11-24 23:19:14] TheWaffleGuy, joining. (#selenium)
[2013-11-24 23:20:45] Hammertime38, joining. (#selenium)
[2013-11-24 23:21:54] Hammertime38, quitting. (Client Quit)
[2013-11-24 23:29:02] plightbo_work, joining. (#selenium)
[2013-11-24 23:33:28] plightbo_work, quitting. (Ping timeout: 264 seconds)
[2013-11-24 23:36:56] TheWaffleGuy, quitting. (Ping timeout: 265 seconds)
[2013-11-24 23:37:08] TheWaffleGuy, joining. (#selenium)
[2013-11-24 23:37:10] papegaaij, joining. (#selenium)
[2013-11-24 23:38:12] jimpurbrick, joining. (#selenium)
[2013-11-24 23:45:49] PavanGupta01, joining. (#selenium)
[2013-11-24 23:47:00] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2013-11-24 23:57:17] manoj9788, quitting. (Quit: Page closed)
[2013-11-24 23:57:42] noahsussman, joining. (#selenium)
