[2013-12-25 08:21:54] DrJenkins, joining. (#selenium)
[2013-12-25 08:22:30] dimacus, joining. (#selenium)
[2013-12-25 08:25:24] dimacus, quitting. (Client Quit)
[2013-12-25 08:26:31] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 08:26:32] DrJenkin_, joining. (#selenium)
[2013-12-25 08:30:48] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 08:31:13] DrJenkins, joining. (#selenium)
[2013-12-25 08:34:00] dimacus, joining. (#selenium)
[2013-12-25 08:35:36] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-25 08:35:48] kedoodek, quitting. (Ping timeout: 260 seconds)
[2013-12-25 08:35:53] DrJenkins, joining. (#selenium)
[2013-12-25 08:40:03] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 08:40:35] DrJenkins, joining. (#selenium)
[2013-12-25 08:42:35] kedoodek, joining. (#selenium)
[2013-12-25 08:43:57] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 08:45:13] DrJenkins, joining. (#selenium)
[2013-12-25 08:49:32] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-25 08:49:51] DrJenkins, joining. (#selenium)
[2013-12-25 08:54:37] DrJenkin_, joining. (#selenium)
[2013-12-25 08:54:45] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 08:59:08] DrJenkin_, quitting. (Ping timeout: 260 seconds)
[2013-12-25 08:59:14] DrJenkins, joining. (#selenium)
[2013-12-25 09:04:04] DrJenkin_, joining. (#selenium)
[2013-12-25 09:04:15] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 09:08:02] kedoodek, quitting. (Ping timeout: 264 seconds)
[2013-12-25 09:08:27] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 09:08:41] DrJenkins, joining. (#selenium)
[2013-12-25 09:11:24] stackedsax1, quitting. (Read error: Connection reset by peer)
[2013-12-25 09:11:47] stackedsax1, joining. (#selenium)
[2013-12-25 09:13:25] DrJenkin_, joining. (#selenium)
[2013-12-25 09:13:45] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 09:16:36] kedoodek, joining. (#selenium)
[2013-12-25 09:17:13] fschuindt, joining. (#selenium)
[2013-12-25 09:17:24] fschuindt: Can anyone help me, please?
[2013-12-25 09:17:52] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-25 09:19:32] davidlai, joining. (#selenium)
[2013-12-25 09:24:53] fschuindt, quitting. (Quit: Page closed)
[2013-12-25 09:41:40] smccarthy, joining. (#selenium)
[2013-12-25 09:42:46] dimacus, quitting. (Quit: Leaving.)
[2013-12-25 10:03:12] SamuraiJack, joining. (#selenium)
[2013-12-25 10:15:20] davidlai, quitting. (Ping timeout: 252 seconds)
[2013-12-25 10:18:59] DrJenkins, joining. (#selenium)
[2013-12-25 10:23:24] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-25 10:23:38] DrJenkins, joining. (#selenium)
[2013-12-25 10:27:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 10:28:15] DrJenkins, joining. (#selenium)
[2013-12-25 10:32:26] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 10:32:56] DrJenkins, joining. (#selenium)
[2013-12-25 10:33:29] SamuraiJack, quitting. (Ping timeout: 246 seconds)
[2013-12-25 10:37:20] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 10:37:33] DrJenkins, joining. (#selenium)
[2013-12-25 10:42:14] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 10:42:16] DrJenkin_, joining. (#selenium)
[2013-12-25 10:45:43] alexglow, joining. (#selenium)
[2013-12-25 10:46:30] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-25 10:46:52] davidlai, joining. (#selenium)
[2013-12-25 10:46:53] DrJenkins, joining. (#selenium)
[2013-12-25 10:50:23] SamuraiJack, joining. (#selenium)
[2013-12-25 10:51:18] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-25 10:51:34] DrJenkins, joining. (#selenium)
[2013-12-25 10:54:50] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 10:56:17] DrJenkins, joining. (#selenium)
[2013-12-25 10:56:34] SamuraiJack, quitting. (Ping timeout: 246 seconds)
[2013-12-25 10:58:17] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 11:00:55] DrJenkins, joining. (#selenium)
[2013-12-25 11:04:15] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 11:05:39] DrJenkins, joining. (#selenium)
[2013-12-25 11:09:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 11:10:17] DrJenkins, joining. (#selenium)
[2013-12-25 11:14:59] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 11:15:03] DrJenkin_, joining. (#selenium)
[2013-12-25 11:19:26] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-25 11:19:35] DrJenkins, joining. (#selenium)
[2013-12-25 11:24:15] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 11:24:19] DrJenkin_, joining. (#selenium)
[2013-12-25 11:28:39] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-25 11:28:58] DrJenkins, joining. (#selenium)
[2013-12-25 11:33:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 11:33:33] DrJenkins, joining. (#selenium)
[2013-12-25 11:38:09] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 11:38:12] DrJenkin_, joining. (#selenium)
[2013-12-25 11:42:47] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 11:42:57] DrJenkins, joining. (#selenium)
