[2013-12-30 07:03:12] DrJenkin_, joining. (#selenium)
[2013-12-30 07:03:28] testersel: Hi All,
[2013-12-30 07:03:50] jack090: I did this somewhere I'm looking at my code
[2013-12-30 07:04:03] testersel: I am not able to run my tests using chrome browser even after setting system property to webdriver.chrome.driver to the chrome driver.exe
[2013-12-30 07:04:42] testersel: can anyone help me on this please
[2013-12-30 07:04:51] jack090: It was fairly easy if I recall. I think I maximize the browser window to be outside the screen scope then take screenshot then flip it back
[2013-12-30 07:06:56] jack090: testersel how are you starting chromedriver?
[2013-12-30 07:06:57] testersel, quitting. (Client Quit)
[2013-12-30 07:07:07] Stephen, joining. (#selenium)
[2013-12-30 07:07:33] Stephen, leaving. (#selenium)
[2013-12-30 07:07:49] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-30 07:08:24] simplex_: ok do you know how to get the actual size of the page in order to determine what size to resize to?
[2013-12-30 07:12:56] DrJenkin_, joining. (#selenium)
[2013-12-30 07:13:18] jack090: simplex_ I'm trying to find where I implemented it. (I took it out a while ago since most of the pages I'm testing fit since it's modified for mobile).
[2013-12-30 07:14:59] simplex_: ok cool, thank you!
[2013-12-30 07:16:15] smccarthy, joining. (#selenium)
[2013-12-30 07:16:46] simplex_: worst case would be that i just make the browser window really big in order to get everything... but that's ok i guess, since chromedriver is by far the fastest, excluding the headless ones
[2013-12-30 07:17:39] DrJenkins, joining. (#selenium)
[2013-12-30 07:17:42] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-30 07:20:27] simplex_, quitting. (Quit: Page closed)
[2013-12-30 07:21:07] plightbo_work, joining. (#selenium)
[2013-12-30 07:21:55] simplex_, joining. (#selenium)
[2013-12-30 07:22:20] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-30 07:22:20] DrJenkin_, joining. (#selenium)
[2013-12-30 07:23:24] simplex_: anybody knows what options to use to make chromedriver as fast as possible?
[2013-12-30 07:24:37] therealfakemoot: simplex_: Have you identified what's making it slow in the first place?
[2013-12-30 07:24:55] therealfakemoot: simplex_: Speed optimization is not something you fire blindly into (with much sccess)
[2013-12-30 07:25:43] simplex_: well i just fire up many instances and it gets quite slow after 15 or so... so i thought disabling everything that is not used would be the best way...
[2013-12-30 07:25:49] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-12-30 07:26:15] therealfakemoot: simplex_: well 15 instances of chrome is quite a lot
[2013-12-30 07:26:33] simplex_: and now i'm looking through this list trying to find the right options..:http://peter.sh/experiments/chromium-command-line-switches/
[2013-12-30 07:26:35] therealfakemoot: simplex_: unless you've got multiple multicore CPUs and buttloads of RAM and really amazing pipes
[2013-12-30 07:26:47] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-30 07:27:01] DrJenkins, joining. (#selenium)
[2013-12-30 07:27:45] randyg, quitting. (Quit: randyg)
[2013-12-30 07:29:13] mgalvin, joining. (#selenium)
[2013-12-30 07:30:20] simplex_: yes true, but with phantomjs it is not a problem... unfortunately phantomjs is useless on my jsheavy sites
[2013-12-30 07:30:39] Mkop, joining. (#selenium)
[2013-12-30 07:30:44] simplex_: so i have to use chromedriver
[2013-12-30 07:31:10] simplex_: *many jsheavy sites
[2013-12-30 07:31:15] Dave_B_: spread the chrome instances between more machines?
[2013-12-30 07:31:19] mgalvin, quitting. (Client Quit)
[2013-12-30 07:31:34] jimevans, joining. (#selenium)
[2013-12-30 07:31:37] DrJenkin_, joining. (#selenium)
[2013-12-30 07:31:47] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 07:32:48] simplex_: i run the tests all from my pc using the remotewebdriver in order to make proper multithreading possible (ports issue)
[2013-12-30 07:34:22] wrench, quitting. (Changing host)
[2013-12-30 07:34:22] wrench, joining. (#selenium)
[2013-12-30 07:35:50] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-30 07:36:19] DrJenkins, joining. (#selenium)
[2013-12-30 07:36:43] wrench, quitting. (Quit: ZNC - http://znc.sourceforge.net)
[2013-12-30 07:37:18] wrench, joining. (#selenium)
[2013-12-30 07:37:27] v-, leaving. ("Leaving")
[2013-12-30 07:38:13] jack090, quitting. (Ping timeout: 272 seconds)
[2013-12-30 07:38:21] jack090, joining. (#selenium)
[2013-12-30 07:40:17] simplex_: I really hate DrJenkins internet connection
[2013-12-30 07:40:57] DrJenkin_, joining. (#selenium)
[2013-12-30 07:41:17] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 07:45:11] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-30 07:45:34] DrJenkins, joining. (#selenium)
[2013-12-30 07:47:19] jaywink, quitting. (Ping timeout: 252 seconds)
[2013-12-30 07:49:26] Eleccy, quitting. (Ping timeout: 264 seconds)
