[2013-06-30 20:30:15] ej, quitting. (Ping timeout: 276 seconds)
[2013-06-30 20:32:46] noahsussman, joining. (#selenium)
[2013-06-30 20:33:45] SamuraiJack_, joining. (#selenium)
[2013-06-30 20:40:57] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 20:42:22] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 21:02:56] markalanevans, quitting. (Quit: markalanevans)
[2013-06-30 21:03:44] markalanevans, joining. (#selenium)
[2013-06-30 21:05:08] markalanevans, quitting. (Client Quit)
[2013-06-30 21:20:41] noahsussman, joining. (#selenium)
[2013-06-30 21:21:24] jimpurbrick, quitting. (Read error: Connection reset by peer)
[2013-06-30 21:22:05] jimpurbrick, joining. (#selenium)
[2013-06-30 21:22:06] ShawnM, joining. (#selenium)
[2013-06-30 21:23:26] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 21:35:48] Silne30, quitting. (Quit: Relax, its only ONES and ZEROS!)
[2013-06-30 21:37:18] noahsussman, quitting. (Remote host closed the connection)
[2013-06-30 21:47:03] noahsussman, joining. (#selenium)
[2013-06-30 21:53:58] ShawnM, joining. (#selenium)
[2013-06-30 21:56:56] smccarthy, quitting. (Remote host closed the connection)
[2013-06-30 22:01:29] ShawnM, quitting. (Ping timeout: 248 seconds)
[2013-06-30 22:03:06] ej, joining. (#selenium)
[2013-06-30 22:27:44] ShawnM, joining. (#selenium)
[2013-06-30 22:35:20] ShawnM, quitting. (Ping timeout: 260 seconds)
[2013-06-30 22:39:14] ShawnM, joining. (#selenium)
[2013-06-30 22:42:39] Turzai, quitting. (Ping timeout: 264 seconds)
[2013-06-30 22:47:21] Dude-X__, joining. (#selenium)
[2013-06-30 22:47:32] Dude-X_, quitting. (Read error: Connection reset by peer)
[2013-06-30 22:58:09] noahsussman, quitting. (Remote host closed the connection)
[2013-06-30 22:58:29] rananda, joining. (#selenium)
[2013-06-30 23:11:18] Turzai, joining. (#selenium)
[2013-06-30 23:23:57] talktokets, joining. (#selenium)
[2013-06-30 23:24:04] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 23:28:36] noahsussman, joining. (#selenium)
[2013-06-30 23:36:03] papegaaij, joining. (#selenium)
[2013-06-30 23:42:48] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 23:43:33] zeljkof, joining. (#selenium)
[2013-06-30 23:48:34] zeljkof, quitting. (Quit: zeljkof)
[2013-06-30 23:49:03] gittish, joining. (#selenium)
[2013-06-30 23:51:34] gittish, quitting. (Client Quit)
[2013-06-30 23:57:21] zeljkof, joining. (#selenium)
