[2013-06-29 23:00:45] ej, quitting. (Ping timeout: 240 seconds)
[2013-06-29 23:02:48] noahsussman, joining. (#selenium)
[2013-06-29 23:10:04] ej, joining. (#selenium)
[2013-06-29 23:16:42] jimpurbrick1, joining. (#selenium)
[2013-06-29 23:20:17] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2013-06-29 23:23:42] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 23:27:50] wolcanus, joining. (#selenium)
[2013-06-29 23:36:24] wolcanus, quitting. (Ping timeout: 276 seconds)
[2013-06-29 23:38:33] frodo624, joining. (#selenium)
[2013-06-29 23:46:48] p0deje, quitting. (Quit: p0deje)
[2013-06-29 23:48:03] frodo624, quitting. (Remote host closed the connection)
