[2015-06-20 14:10:29] asm89-, joining. (#selenium)
[2015-06-20 14:13:01] garndt, joining. (#selenium)
[2015-06-20 14:14:01] hugs__, joining. (#selenium)
[2015-06-20 14:15:14] zeljkof-away, joining. (#selenium)
[2015-06-20 14:16:06] gates, joining. (#selenium)
[2015-06-20 14:21:14] eghm, joining. (#selenium)
[2015-06-20 14:22:27] jcp, joining. (#selenium)
[2015-06-20 14:23:31] sts__, joining. (#selenium)
[2015-06-20 14:24:25] tourdedave_, joining. (#selenium)
[2015-06-20 14:24:58] jarib_, joining. (#selenium)
[2015-06-20 14:27:09] aguynamedben, joining. (#selenium)
[2015-06-20 14:27:13] eghm_, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:13] Guest36007, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:14] mkaufman, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:14] javawizard, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:15] tourdedave, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:16] Takumo, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:16] jarib, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:16] felixn, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:27:23] tourdedave_, changing nick to tourdedave.
[2015-06-20 14:27:41] mkaufman, joining. (#selenium)
[2015-06-20 14:28:03] stackedsax, joining. (#selenium)
[2015-06-20 14:28:18] riotz, quitting. (Ping timeout: 264 seconds)
[2015-06-20 14:28:33] felixn, joining. (#selenium)
[2015-06-20 14:29:31] Takumo, joining. (#selenium)
[2015-06-20 14:29:31] Takumo, quitting. (Changing host)
[2015-06-20 14:29:31] Takumo, joining. (#selenium)
[2015-06-20 14:31:55] riotz, joining. (#selenium)
[2015-06-20 14:34:07] wilhelm_, joining. (#selenium)
[2015-06-20 14:35:53] Ardesco, joining. (#selenium)
[2015-06-20 14:36:30] titusfortner_, joining. (#selenium)
[2015-06-20 14:36:37] ctgriffiths_, joining. (#selenium)
[2015-06-20 14:36:53] terratom1, joining. (#selenium)
[2015-06-20 14:37:01] trcjr-, joining. (#selenium)
[2015-06-20 14:37:11] smyers_, joining. (#selenium)
[2015-06-20 14:38:27] pte_petey, quitting. (Remote host closed the connection)
[2015-06-20 14:38:35] AutomatedTester_, joining. (#selenium)
[2015-06-20 14:40:27] tobiasBo1, joining. (#selenium)
[2015-06-20 14:44:59] wilhelm, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] ninsei, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] tobiasBora, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] trcjr, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] smyers, quitting. (Ping timeout: 255 seconds)
