[2014-09-15 09:42:12] davehunt, quitting. (Quit: Leaving...)
[2014-09-15 09:43:44] umaar, leaving. ("Textual IRC Client: www.textualapp.com")
[2014-09-15 09:45:57] davehunt, joining. (#selenium)
[2014-09-15 09:45:58] davehunt, quitting. (Client Quit)
[2014-09-15 09:55:07] sburjan, joining. (#selenium)
[2014-09-15 09:55:37] dhackner, joining. (#selenium)
[2014-09-15 09:56:36] ramprasad, quitting. (Read error: Connection reset by peer)
[2014-09-15 09:58:31] ramprasad, joining. (#selenium)
[2014-09-15 09:59:57] Guest28915, changing nick to drd.
[2014-09-15 10:00:16] hirani1, joining. (#selenium)
[2014-09-15 10:00:52] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 10:01:19] hirani, quitting. (Read error: Connection reset by peer)
[2014-09-15 10:02:26] ramprasad, quitting. (Client Quit)
[2014-09-15 10:03:51] fabrice31, joining. (#selenium)
[2014-09-15 10:08:18] fabrice31, quitting. (Ping timeout: 246 seconds)
[2014-09-15 10:08:37] jleyba_, quitting. (Quit: Leaving)
[2014-09-15 10:08:54] gabriel_, joining. (#selenium)
[2014-09-15 10:11:32] Zeukkari, quitting. (Ping timeout: 260 seconds)
[2014-09-15 10:11:48] selbot2__: 04 Open issues: 818
[2014-09-15 10:16:09] dhackner, quitting. (Remote host closed the connection)
[2014-09-15 10:17:37] nirvdrum, joining. (#selenium)
[2014-09-15 10:17:47] amasaamos, quitting. (Quit: Leaving.)
[2014-09-15 10:18:40] Zeukkari, joining. (#selenium)
[2014-09-15 10:21:10] andy_seit, quitting. (Ping timeout: 250 seconds)
[2014-09-15 10:23:24] umaar, joining. (#selenium)
[2014-09-15 10:24:11] Neo--, joining. (#selenium)
[2014-09-15 10:24:19] amasaamos, joining. (#selenium)
[2014-09-15 10:27:02] KyleG, quitting. (Quit: Leaving.)
[2014-09-15 10:27:16] KyleG, joining. (#selenium)
[2014-09-15 10:27:16] KyleG, quitting. (Changing host)
[2014-09-15 10:27:16] KyleG, joining. (#selenium)
[2014-09-15 10:29:32] dhackner, joining. (#selenium)
[2014-09-15 10:32:21] dhackner: What is the consensus on mixing jquery into a webdriver to enable selectors like :contains? Is it recommended to just use xpath instead
[2014-09-15 10:33:06] simonstewart, quitting. (Quit: simonstewart)
[2014-09-15 10:38:11] nirvdrum, quitting. (Read error: Connection reset by peer)
[2014-09-15 10:41:46] selbot2__: 04 Open issues: 818
[2014-09-15 10:42:27] tony2, quitting. (Quit: Leaving.)
[2014-09-15 10:43:19] smccarthy, joining. (#selenium)
[2014-09-15 10:43:35] drd, quitting. (Quit: WeeChat 0.3.0)
[2014-09-15 10:44:34] smccarthy2, joining. (#selenium)
[2014-09-15 10:48:07] smccarthy, quitting. (Ping timeout: 245 seconds)
[2014-09-15 10:48:12] elstif, quitting. (Quit: Leaving.)
[2014-09-15 10:51:58] lukeis, joining. (#selenium)
[2014-09-15 10:54:09] nirvdrum, joining. (#selenium)
[2014-09-15 10:56:53] rananda, quitting. (Read error: Connection reset by peer)
[2014-09-15 11:00:21] selenium33, joining. (#selenium)
[2014-09-15 11:00:25] selenium33, leaving. (#selenium)
[2014-09-15 11:01:20] smccarthy, joining. (#selenium)
[2014-09-15 11:04:39] smccarthy2, quitting. (Ping timeout: 246 seconds)
[2014-09-15 11:05:34] andy_seit, joining. (#selenium)
[2014-09-15 11:11:11] barancev: :spec
[2014-09-15 11:11:12] selbot2__: http://dvcs.w3.org/hg/webdriver/raw-file/tip/webdriver-spec.html | http://dvcs.w3.org/hg/webdriver/ | bugs: http://goo.gl/LxCtcV
[2014-09-15 11:11:47] selbot2__: 04 Open issues: 819
[2014-09-15 11:13:47] hirani1, quitting. (Quit: Leaving.)
[2014-09-15 11:16:12] KyleG, quitting. (Ping timeout: 250 seconds)
[2014-09-15 11:19:08] rananda, joining. (#selenium)
[2014-09-15 11:25:30] Guest84264, joining. (#selenium)
[2014-09-15 11:26:56] Guest84264: hello, i have aproblem, i would not use temp folder for two main reasons, they take too much disk space and in term of performance its not the best, how delete temp folder using .quit() and/or use a read only profile folder ?
[2014-09-15 11:30:29] hirani, joining. (#selenium)
[2014-09-15 11:30:47] KyleG, joining. (#selenium)
[2014-09-15 11:30:47] KyleG, quitting. (Changing host)
[2014-09-15 11:30:47] KyleG, joining. (#selenium)
[2014-09-15 11:34:22] Guest84264: i use seven python 2.7, selenium 2.43.1
[2014-09-15 11:34:56] Archdude_, joining. (#selenium)
[2014-09-15 11:37:05] Archdude, quitting. (Ping timeout: 258 seconds)
[2014-09-15 11:37:06] Archdude_, changing nick to Archdude.
[2014-09-15 11:38:36] SamuraiJack, quitting. (Ping timeout: 246 seconds)
[2014-09-15 11:40:53] dude-x: when the driver quits, it cleans up the temp profile
[2014-09-15 11:40:58] dude-x: it should do it at least
[2014-09-15 11:41:02] dude-x: if it doesn't that's abug
[2014-09-15 11:41:08] dude-x: a bug.
[2014-09-15 11:41:40] dude-x: if you want to use your own profile you will have to do something like profile = webdriver.FirefoxProfile('path/to/profile')
[2014-09-15 11:41:46] selbot2__: 04 Open issues: 820
[2014-09-15 11:42:27] tony2, joining. (#selenium)
[2014-09-15 11:46:39] tony2, quitting. (Ping timeout: 246 seconds)
[2014-09-15 11:47:57] Guest84264: dude-x: i already t ried that
[2014-09-15 11:48:27] Guest84264: profile = webdriver.FirefoxProfile("C:\Users\user\AppData\Roaming\Mozilla\Firefox\Profiles\c7uvto6h.selenium")
